Current Time                                                                Throughput               
12708.000000                                                                2222.222222              

12764.000000                                                                1785.714286              

12808.000000                                                                2272.727273              

12856.000000                                                                2083.333333              

12901.000000                                                                2222.222222              

12951.000000                                                                2000.000000              

12998.000000                                                                2127.659574              

13046.000000                                                                2083.333333              

13089.000000                                                                2325.581395              

13143.000000                                                                1851.851852              

13190.000000                                                                2127.659574              

13244.000000                                                                1851.851852              

13292.000000                                                                2083.333333              

13337.000000                                                                2222.222222              

13387.000000                                                                2000.000000              

13427.000000                                                                2500.000000              

13473.000000                                                                2173.913043              

13513.000000                                                                2500.000000              

13560.000000                                                                2127.659574              

13606.000000                                                                2173.913043              

13652.000000                                                                2173.913043              

13696.000000                                                                2272.727273              

13747.000000                                                                1960.784314              

13791.000000                                                                2272.727273              

13838.000000                                                                2127.659574              

13882.000000                                                                2272.727273              

13926.000000                                                                2272.727273              

13975.000000                                                                2040.816327              

14019.000000                                                                2272.727273              

14066.000000                                                                2127.659574              

14113.000000                                                                2127.659574              

14157.000000                                                                2272.727273              

14204.000000                                                                2127.659574              

14248.000000                                                                2272.727273              

14301.000000                                                                1886.792453              

14345.000000                                                                2272.727273              

14392.000000                                                                2127.659574              

14451.000000                                                                1694.915254              

14494.000000                                                                2325.581395              

14538.000000                                                                2272.727273              

14587.000000                                                                2040.816327              

14632.000000                                                                2222.222222              

14675.000000                                                                2325.581395              

14725.000000                                                                2000.000000              

14772.000000                                                                2127.659574              

14821.000000                                                                2040.816327              

14875.000000                                                                1851.851852              

14916.000000                                                                2439.024390              

14959.000000                                                                2325.581395              

15002.000000                                                                2325.581395              

15018.000000                                                                6250.000000              

15028.000000                                                                10000.000000             

15043.000000                                                                6666.666667              

15063.000000                                                                5000.000000              

15084.000000                                                                4761.904762              

15099.000000                                                                6666.666667              

15112.000000                                                                7692.307692              

15119.000000                                                                14285.714286             

15135.000000                                                                6250.000000              

15140.000000                                                                20000.000000             

15148.000000                                                                12500.000000             

15158.000000                                                                10000.000000             

15168.000000                                                                10000.000000             

15176.000000                                                                12500.000000             

15184.000000                                                                12500.000000             

15194.000000                                                                10000.000000             

15204.000000                                                                10000.000000             

15214.000000                                                                10000.000000             

15222.000000                                                                12500.000000             

15237.000000                                                                6666.666667              

15244.000000                                                                14285.714286             

15254.000000                                                                10000.000000             

15263.000000                                                                11111.111111             

15272.000000                                                                11111.111111             

15281.000000                                                                11111.111111             

15291.000000                                                                10000.000000             

15298.000000                                                                14285.714286             

15313.000000                                                                6666.666667              

15321.000000                                                                12500.000000             

15330.000000                                                                11111.111111             

15339.000000                                                                11111.111111             

15347.000000                                                                12500.000000             

15359.000000                                                                8333.333333              

15367.000000                                                                12500.000000             

15374.000000                                                                14285.714286             

15384.000000                                                                10000.000000             

15395.000000                                                                9090.909091              

15405.000000                                                                10000.000000             

15414.000000                                                                11111.111111             

15421.000000                                                                14285.714286             

15433.000000                                                                8333.333333              

15441.000000                                                                12500.000000             

15451.000000                                                                10000.000000             

15459.000000                                                                12500.000000             

15487.000000                                                                3571.428571              

15492.000000                                                                20000.000000             

15495.000000                                                                33333.333333             

15510.000000                                                                6666.666667              

